gene	SRR3581356	SRR3581681	SRR3581703	SRR3581727	SRR3581836	SRR3581847	SRR3581866	SRR3581867	SRR3581869	SRR3581889	SRR3581893	SRR3581894
AT3G48410.1	28.334476	7.741081	5.535206	50.261192	30.593418	0.000000	19.099953	18.596680	7.847014	56.353745	8.957479	6.796076
AT3G48840.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
AT3G52600.1	0.000000	0.000000	0.000000	0.066929	0.000000	0.000000	0.123269	0.000000	0.000000	0.138636	0.000000	0.000000
AT3G52780.1	0.804196	0.195850	0.000000	0.399647	0.656586	0.107627	0.000000	0.000000	0.000000	0.219759	0.000000	3.706125
AT3G53340.1	22.082628	9.179003	17.236954	32.279804	25.210499	13.222505	27.914942	26.547382	18.150007	33.314362	15.635206	19.045847
AT3G54400.1	77.115562	1.867520	64.759750	194.036163	71.395302	3.736025	79.212296	87.103897	67.463058	238.752075	8.197966	28.695932
AT3G55880.2	25.250481	45.949371	0.114914	2.343295	19.339447	41.778099	1.767287	0.520235	0.969505	2.333653	27.747681	6.513600
AT3G55920.1	19.270042	0.000000	12.937505	21.058041	20.797365	10.748250	0.000000	23.516808	0.000000	21.399651	16.401957	19.577072
AT3G56490.1	112.344643	59.557655	82.825302	142.586044	94.980255	60.418819	83.025146	82.022987	89.259811	146.490921	201.617691	53.751637
AT3G57270.1	0.000000	0.000000	0.074940	2.226792	0.000000	0.000000	0.000000	0.000000	0.000000	2.445008	0.000000	0.000000
AT3G57330.1	36.254749	28.207394	7.494317	12.852755	34.516567	22.231262	8.757815	8.955727	8.230210	11.124295	3.871818	19.497988
AT3G57520.1	87.439934	99.333176	383.134766	85.456787	123.650650	74.980331	154.951508	149.920563	363.189697	97.013626	112.807564	91.489998
AT3G58680.1	109.434540	313.246735	183.770050	186.707764	116.984253	313.331879	241.898392	234.200882	192.170120	178.367233	354.135803	207.743362
AT3G60245.1	1414.559204	191.802185	991.582092	1303.866333	1462.484131	222.009201	964.047913	1248.990479	1116.161377	1389.427002	3951.938965	1414.686401
AT3G62260.2	3.387167	4.037988	0.127906	0.000000	0.000000	0.331499	3.534928	5.441369	0.000000	0.000000	0.000000	0.000000
AT4G01026.1	4.228582	22.381363	18.346468	11.106455	5.917170	30.531340	12.039077	5.574750	20.112684	7.531854	0.000000	0.463489
AT4G01590.3	11.207612	12.845427	19.325640	0.000000	12.428831	13.448353	30.344988	9.678679	12.429345	21.650167	32.440750	15.046073
AT4G03550.1	15.378006	8.221565	14.620783	27.340572	15.319902	7.261895	17.599800	21.600075	15.004316	28.297173	0.000000	24.622805
AT4G04860.1	17.792294	7.138716	7.729908	19.244467	22.053215	6.527943	13.432993	15.062676	9.214871	19.997990	10.839718	5.080265
AT4G07390.1	26.391867	39.134483	21.189350	52.559216	41.264633	28.351219	67.001083	49.298618	27.057255	52.839035	81.556313	29.798609
AT4G08370.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
AT4G10340.1	5.439744	2126.815430	2035.950195	162.565399	0.000000	2681.835449	174.914047	328.499329	664.861816	38.190228	0.000000	18.803152
AT4G10840.1	77.551888	31.876625	55.482109	68.263771	84.319092	31.716944	52.051876	54.627975	52.428814	69.468460	24.126982	74.991608
AT4G10850.1	0.000000	0.000000	0.000000	4.743352	0.000000	0.000000	26.837770	90.538193	0.000000	5.637846	0.000000	0.000000
